tau  G_greater_spin_up_00  G_greater_spin_up_00_err
0.00              0.662088                  0.043912
0.05              0.586196                  0.027383
0.10              0.535483                  0.049066
0.15              0.461375                  0.040938
0.20              0.372878                  0.048325
0.25              0.401760                  0.054169
0.30              0.352155                  0.084555
0.35              0.325024                  0.047422
0.40              0.320753                  0.043728
0.45              0.331716                  0.047945
0.50              0.253442                  0.046216
0.55              0.241830                  0.045472
0.60              0.273052                  0.044167
0.65              0.243039                  0.045827
0.70              0.268779                  0.065738
0.75              0.185337                  0.061377
0.80              0.213907                  0.076163
0.85              0.159318                  0.055285
0.90              0.138123                  0.080392
0.95              0.213281                  0.056665
1.00              0.147292                  0.039698
1.05              0.180670                  0.052671
1.10              0.151108                  0.032021
1.15              0.122822                  0.040405
1.20              0.074787                  0.036038
1.25              0.114613                  0.036416
1.30              0.084698                  0.027544
1.35              0.089350                  0.036223
1.40              0.101837                  0.046799
1.45              0.102040                  0.053117
1.50              0.077308                  0.033814
1.55              0.108787                  0.035857
1.60              0.057623                  0.058019
1.65              0.074753                  0.063894
1.70              0.107355                  0.028272
1.75              0.115832                  0.036661
1.80              0.088602                  0.032333
1.85              0.096804                  0.038662
1.90              0.102752                  0.051537
1.95              0.126451                  0.067968
2.00              0.089361                  0.037186
